Country,2017INv,2017Emp,2018INv,2018Emp,2019Inv,2019Emp,2020Inv,2020Emp,TotalInv,TotalEmp,C1,C2,C3,C4,C5,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,c60,c61,c62
China,1778.3,6135,238.2,825,61.1,544,0,0,2077.6,7504,0.56,9596961,2695000,12,86,10291926.88,119.09,0.02,CNY,NA,3927.04,1.62,0.22,87.48,0.96,1.22E+13,1.01,0.48,0.05,0.05,8.5,76.25,8.71E+12,27,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1427647786,1433783686,0
India,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,0.6,3287263,2981050,19.01,91,2238377.14,160.13,0.05,INR,NA,805.6,2.33,0.24,73.46,0.97,2.94E+12,1.15,0.27,0.04,0.04,34.6,68.56,2.33E+12,174,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1352642280,1366417754,0.01
United States,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,0.44,9833517,1348400,12.4,1,5254279.29,112.41,0.01,USD,NA,12984.33,1.8,0.34,82.78,0.71,2.14E+13,0.99,0.72,0.18,0.18,5.6,78.69,3.21E+13,14,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327096265,329064917,0.01
Indonesia,0,0,0,0,0,0,0,0,0,0,0.31,1904569,675500,18.99,62,464176.19,142.18,0.04,IDR,NA,811.9,2.36,0.5,65.56,0.63,1.02E+12,1.03,0.28,0.03,0.03,22.2,69.19,5.21E+11,126,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267670543,270625568,0.01
Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,881913,935800,28.23,92,166298.45,156.91,0.04,PKR,NA,471.04,3.48,0.02,59.7,0.79,3.04E+11,0.98,0.1,0.03,0.03,64.2,66.48,91863740000,178,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212228286,216565318,0.02
Brazil,0,0,0,0,0,0,0,0,0,0,0.34,8515767,729500,14.16,55,529808.16,155.67,0.09,BRL,NA,2601.37,1.73,0.59,59.12,1.02,2.06E+12,1.15,0.51,0.09,0.09,13.5,75.51,9.55E+11,44,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209469323,211049527,0.01
Nigeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,923768,200000,38.89,234,96280.75,214.23,0.16,NGN,NA,144.48,5.53,0.08,19.04,0.46,3.76E+11,0.94,0.1,0.06,0.06,66.9,53.43,37217620000,814,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195874683,200963599,0.03
Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,147570,220950,18.95,880,73189.65,161.14,0.06,BDT,NA,310.39,2.1,0.11,73.77,1.12,2.50E+11,1.19,0.17,0.04,0.04,28.2,72.49,86178750000,176,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161376708,163046161,0.01
Russia,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,0.13,17098240,1454000,12.9,7,1705345.68,168.17,0.07,RUB,NA,6602.66,1.75,0.5,90.22,0.59,1.58E+12,1.02,0.82,0.06,0.06,6.6,71.59,6.23E+11,25,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145734038,145872256,0
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,1972550,336050,18.17,52,480270.66,130.2,0.03,MXN,NA,2090.18,2.18,0.34,90.45,0.73,1.15E+12,1.04,0.37,0.06,0.06,12.6,77.12,4.17E+11,38,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126190788,127575529,0.01
Japan,53,53,53,53,53,53,53,53,53,53,0.12,377944,260890,7.8,81,1214048.36,103.96,0,JPY,NA,7819.71,1.44,0.68,93.72,1.06,4.87E+12,0.99,0.63,0.1,0.1,2,83.98,6.22E+12,5,6.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127202192,126860301,?0.27%
Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,1104300,138000,31.78,251,11598.72,249.09,0.07,ETB,NA,69.72,4.2,0.12,6.11,0.75,80561496134,1.02,0.08,0.04,0.04,41,65.48,NA,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109224414,112078730,0.03
Philippines,0,0,0,0,0,0,0,0,0,0,0.42,300000,165500,23.21,63,105653.6,120.21,0.02,PHP,NA,699.21,2.93,0.27,61.99,0.86,3.14E+11,1.13,0.35,0.05,0.05,21.5,69.09,2.90E+11,114,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106651394,108116615,0.01
Egypt,0,0,0,0,0,0,0,0,0,0,0.04,1001450,835500,26.49,20,201894.02,231.11,0.14,EGP,NA,1657.77,3.27,0,95.97,0.4,2.35E+11,1.04,0.34,0.05,0.05,19.4,71.48,46546100000,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98423598,100388073,0.02
Vietnam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,331210,522000,16.69,84,166910.84,155.8,0.03,VND,NA,1410.91,1.95,0.48,69.82,0.8,2.24E+11,1.1,0.28,0.07,0.07,17.3,76.25,1.17E+11,54,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95545962,96462106,0.01
Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,2344858,134250,42.28,243,4671.76,133.85,0.02,CDF,NA,108.58,6.11,0.67,5.36,1.49,37241300949,1.08,0.07,0.06,0.06,72,59.62,NA,693,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84068091,86790567,0.03
Germany,247.27,247.27,247.27,247.27,247.27,247.27,247.27,247.27,247.27,247.27,0.48,357022,179100,9.3,49,719883.44,109.28,0,EUR,NA,7035.48,1.5,0.33,79.81,1.39,3.68E+12,1.02,0.66,0.11,0.11,3.2,80.64,2.26E+12,6,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83124418,83517045,0
Turkey,0,0,0,0,0,0,0,0,0,0,0.5,783562,512000,16.24,90,345981.45,174.97,0.08,TRY,NA,2854.57,2.05,0.15,87.59,1.42,8.51E+11,1.03,0.95,0.06,0.06,10.9,75.76,2.28E+11,16,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82340088,83429615,0.01
Iran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,1648195,563000,16.54,98,649480.71,339.72,0.09,IRR,NA,2985.69,1.66,0.07,98.99,0.4,4.40E+11,1.09,0.69,0.07,0.07,13,75.95,1.06E+11,25,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81800188,82913906,0.01
Thailand,0,0,0,0,0,0,0,0,0,0,0.43,513120,454550,10.33,66,316212.74,111.29,0,THB,NA,2539.61,1.48,0.32,79.75,0.71,4.55E+11,1.01,0.46,0.04,0.04,10.5,75.3,5.49E+11,20,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68863514,69037513,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0.71,243610,150250,11.8,44,419820.16,115.57,0.01,GBP,NA,5129.53,1.8,0.13,80.71,1.46,2.62E+12,1.02,0.57,0.09,0.09,3.7,80.96,1.87E+12,9,10.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67141684,67530172,0.01
France,343.62,343.62,343.62,343.62,343.62,343.62,343.62,343.62,343.62,343.62,0.52,643801,306100,11.7,33,303275.57,106.86,0,EUR,NA,6939.52,1.96,0.31,46.63,1.39,2.58E+12,1.07,0.65,0.12,0.12,3.2,82.27,2.75E+12,8,11.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64990511,65129728,0
Italy,0,0,0,0,0,0,0,0,0,0,0.44,301340,356850,7.8,39,320411.46,108.71,0,EUR,NA,5002.41,1.35,0.32,79.15,1.61,1.93E+12,1.01,0.63,0.09,0.09,2.8,82.54,5.87E+11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60627291,60550075,?0.13%
South Africa,0,0,0,0,0,0,0,0,0,0,0.8,1221037,81400,20.98,27,489771.85,146.05,0.06,ZAR,NA,4198.4,2.46,0.08,86.91,0.92,3.49E+11,1.03,0.2,0.09,0.09,34.2,62.77,1.23E+12,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57792518,58558270,0.01
Tanzania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,947303,28400,38.19,255,11562.05,175.04,0.05,TZS,NA,99.17,5.02,0.52,14.38,0.87,52090320325,0.81,0.04,0.07,0.07,40.3,65.68,398100000,398,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56313438,58005463,0.03
Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,676578,513250,17.79,95,21631.63,144.61,0.07,MMK,NA,216.78,2.21,0.44,39.33,0.54,69322122756,1.12,0.16,0.02,0.02,40.1,66.61,NA,178,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53708320,54045420,0.01
Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,580367,29100,31.31,254,14286.63,172.43,0.06,KES,NA,166.74,3.85,0.08,17.15,0.95,74938190655,1.05,0.04,0.05,0.05,35.6,67.03,10202610000,510,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51392565,52573973,0.02
South Korea,752.56,752.56,752.56,752.56,752.56,752.56,752.56,752.56,752.56,752.56,0.18,99720,634000,7.9,82,587156.37,113.05,0.01,KRW,"South Korea, officially the Republic of Korea is a country in East Asia, constituting the southern part of the Korean Peninsula and sharing a land border with North Korea.",10496.51,1.17,0.63,82.04,1.22,2.03E+12,0.98,0.93,0.08,0.08,2.9,82.02,1.77E+12,11,6.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51171706,51225308,0
Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1141748,481100,15.2,57,84091.64,131.88,0.08,COP,NA,1289.57,1.85,0.53,76.69,0.68,3.09E+11,1.14,0.59,0.07,0.07,13.1,74.38,1.21E+11,64,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49661048,50339443,0.01
Spain,0,0,0,0,0,0,0,0,0,0,0.53,505990,197950,8.7,34,233976.6,108.38,0,EUR,NA,5355.99,1.33,0.37,72.94,1.26,1.31E+12,1.04,0.91,0.1,0.1,2.7,82.83,8.89E+11,5,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46692858,46736776,0
Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,2780400,105450,17.17,54,204024.55,NA,0.11,ARS,NA,3052.38,2.29,0.1,88.54,1.1,6.38E+11,1.1,0.86,0.08,0.08,9.9,76.58,1.09E+11,52,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44361150,44780677,0.01
Uganda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,241038,46400,42.14,256,5229.14,166.25,0.05,UGX,NA,NA,5.59,0.1,NA,0.94,25891058946,1,0.05,0.08,0.08,37.7,59.89,NA,343,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42729036,44269594,0.04
Ukraine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,603550,292000,10.3,380,227299,235.3,0.14,UAH,NA,3418.59,1.47,0.17,75.33,0.83,1.12E+11,1,0.83,0.08,0.08,7.8,71.48,25654060000,24,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44246156,43993638,?0.57%
Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,2381741,317200,23.13,213,145400.22,142.38,0.06,DZD,NA,1356.26,2.78,0.01,99.98,0.28,1.70E+11,1.14,0.43,0.05,0.05,21.6,76.08,NA,140,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42228408,43053054,0.02
Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,1886068,124300,32.93,249,15364.73,349.82,0.18,SDG,NA,190.22,4.53,0.08,31.76,0.95,1.17E+11,0.74,0.17,0.07,0.07,44.8,64.49,NA,311,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41801533,42813238,0.02
Iraq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,437072,209000,33.21,964,168443.65,119.38,0.01,IQD,NA,1305.69,4.37,0.02,97.27,0.61,1.98E+11,1.08,0.16,0.04,0.04,25.9,69.86,NA,50,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38433600,39309783,0.02
Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,652230,323000,33.21,93,9809.23,137.9,0.02,AFN,NA,NA,4.64,0.02,NA,0.7,20815300220,1.05,0.08,0.09,0.09,53.2,63.67,NA,396,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37171921,38041754,0.02
Poland,0,0,0,0,0,0,0,0,0,0,0.47,312685,178400,10.1,48,285739.97,109.64,-0.01,PLN,NA,3971.8,1.32,0.31,89.86,1.07,5.25E+11,1.1,0.67,0.07,0.07,4,77.45,2.01E+11,3,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37921592,37887768,?0.09%
Canada,600.6,600.6,600.6,600.6,600.6,600.6,600.6,600.6,600.6,600.6,0.07,9984670,67500,10.8,1,537193.5,111.98,0.01,CAD,NA,15545.54,1.6,0.38,73.59,0.81,1.65E+12,1.01,0.59,0.11,0.11,4.3,82.3,2.37E+12,7,9.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37074562,37411047,0.01
Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,446550,245800,19.97,212,59863.78,108.77,0.02,MAD,NA,901.13,2.49,0.13,88.47,0.99,1.09E+11,1.1,0.32,0.06,0.06,23.3,75.82,67048480000,121,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36029093,36471769,0.01
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0.81,2149690,251500,19.56,966,601046.97,122.08,0.04,SAR,NA,9444.22,2.53,0,100,0.24,6.84E+11,1.16,0.67,0.03,0.03,11.1,74.56,4.51E+11,12,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33702756,34268528,0.02
Uzbekistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,448978,68000,22.8,998,105213.56,NA,NA,UZS,NA,1645.44,2.46,0.08,97.74,1.03,48717685984,1.03,0.09,0.06,0.06,21.4,71.31,NA,36,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32476244,32981716,0.02
Peru,0,0,0,0,0,0,0,0,0,0,0.19,1285216,158000,19.28,51,61744.95,125.42,0.04,PEN,NA,1307.51,2.4,0.58,79.56,0.99,2.11E+11,1.03,0.34,0.05,0.05,11.9,74.98,99217960000,68,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31989260,32510453,0.02
Malaysia,0,0,0,0,0,0,0,0,0,0,0.24,329847,133600,17.05,60,242821.41,119.61,0.02,MYR,NA,4596.33,2.04,0.68,96.63,0.45,3.15E+11,1.03,0.44,0.04,0.04,7.1,75.3,4.56E+11,40,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31528033,31949777,0.01
Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,1246700,117000,41.82,244,34763.16,280.76,0.35,AOA,NA,312.48,5.69,0.46,48.28,0.97,1.24E+11,1.19,0.09,0.03,0.03,54.6,61.55,NA,477,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30809787,31825295,0.03
Mozambique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,801590,11200,38.95,258,8426.77,170.7,0.1,MZN,NA,462.62,5.24,0.48,12.6,0.65,12333859926,1.06,0.07,0.06,0.06,53.1,58.31,NA,489,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29496004,30366036,0.03
Yemen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,527968,20000,31.64,967,22698.73,157.58,0.08,YER,NA,216.26,4,0.01,98.49,0.92,18213328571,0.92,0.1,0.06,0.06,43.2,64.95,NA,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28498683,29161922,0.02
Ghana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,238533,15500,31.05,233,14466.32,232.26,0.17,GHS,NA,354.71,3.98,0.41,52.3,0.92,47330016343,1.05,0.16,0.05,0.05,41.2,62.74,3098510000,319,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28206728,28833629,0.02
Nepal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,147181,158600,19.71,977,8030.73,171.14,0.09,NPR,NA,139.14,2.12,0.25,15.76,0.91,24472013234,1.34,0.12,0.05,0.05,28.4,70.25,NA,258,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28095714,28608710,0.02
Venezuela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,916445,273000,19.03,58,185220.17,2740.27,2.55,VES,NA,2657.62,2.32,0.53,88.38,0,4.82E+11,0.97,0.77,0.05,0.05,14,74.55,3979600000,95,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28887118,28515829,?1.29%
Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,587041,21600,33.15,261,3076.61,161.17,0.07,MGA,NA,NA,4.18,0.21,NA,1.11,11499803807,1.44,0.05,0.04,0.04,34,65.93,NA,353,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26262313,26969307,0.03
North Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,120540,1469000,13.83,850,40527.68,NA,NA,KPW,NA,600.29,1.91,0.42,81.41,0.58,1530750.92,0.99,0.28,NA,NA,15.1,71.69,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25549604,25666161,0
Ivory Coast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,322463,25000,36.83,225,11045,112.45,0.01,XOF,NA,276.15,4.91,0.33,26.49,0.93,40388624117,0.97,0.09,0.07,0.07,66,53.58,NA,645,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25069230,25716544,0.03
