Country,2017INv,2017Emp,2018INv,2018Emp,2019Inv,2019Emp,2020Inv,2020Emp,TotalInv,TotalEmp,C1,C2,C3,C4,C5,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,c60,c61,c62
Macau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2,NA,12.15,853,1283.45,134.45,0.02,NA,NA,NA,1.31,NA,NA,NA,50361201096,1.06,0.78,NA,NA,NA,83.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631636,640445,0.01
Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,13812,12050,11.36,382,2211.2,113.36,0,EUR,NA,4612.34,1.67,0.61,64.67,1.16,4774086094,0.96,0.57,0.08,0.08,3.5,77.12,3787240000,7,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627809,627987,0
Luxembourg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,2586.4,1500,10.4,352,9658.88,111.41,0,EUR,NA,13914.68,1.47,0.33,80.92,1.19,62404461275,0.99,0.2,0.07,0.07,2,82.29,68639080000,10,13.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604245,615729,0.02
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567402,582463,0.03
Suriname,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,163820,1940,18.22,597,1991.18,264.07,0.52,SRD,NA,3631.86,2.37,0.98,76.25,1.29,3324385325,1.21,0.13,0.06,0.06,17.8,71.41,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575990,581372,0.01
Cape Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,4033,1200,20.9,238,491.38,107.93,-0.01,CVE,NA,NA,2.33,0.22,0,1.02,1753736712,0.97,0.22,0.04,0.04,18.2,72.8,NA,42,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543767,549935,0.01
Maldives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,298,5000,18.27,960,1334.79,136.31,0.01,MVR,NA,NA,2.09,0.03,0,1.63,4597083304,1.02,0.14,0.09,0.09,7.3,77.34,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515696,530953,0.03
Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446928,447905,0
Malta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,316,2130,10.2,356,2346.88,110.34,0.01,EUR,NA,4924.54,1.45,0.01,97.79,1.36,12537750732,1.05,0.49,0.09,0.09,5.9,81.8,5171190000,9,5.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439248,440372,0
Brunei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,5765,12100,15.87,673,9108.83,99.11,-0.01,BND,NA,10242.8,1.87,0.72,100,0.37,12128089002,1.07,0.31,0.02,0.02,8.5,77.2,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428963,433285,0.01
Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,22966,1500,22.53,501,495.05,105.68,-0.01,BZD,NA,NA,2.51,0.6,0,1.13,1838000000,1.15,0.24,0.06,0.06,12.8,70.38,NA,28,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383071,390353,0.02
Bahamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,13878,1300,14.27,1,2416.55,110.88,0,NA,NA,NA,1.77,0.51,0,0.92,12162100000,0.95,0.15,0.08,0.08,8.6,75.68,NA,80,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385637,389482,0.01
Martinique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1128,NA,NA,596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375673,375554,?0.03%
Iceland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,103000,250,12,354,1983.85,121.96,0.02,ISK,NA,53832.48,1.8,0,11.52,1.69,23909289979,0.99,0.76,0.09,0.09,1.6,82.47,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336713,339031,0.01
Vanuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,12189,NA,25.86,678,154.01,108.05,0.01,VUV,NA,NA,3.28,0.36,0,1.31,862879789.4,1.2,0.05,0.04,0.04,23.1,72.13,NA,78,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292680,299882,0.02
Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,439,610,11.91,1,1272.45,124.25,-0.01,BBD,NA,NA,1.8,0.15,0,1.81,4796845981,0.93,0.65,0.06,0.06,11.4,75.91,4567520000,27,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286641,287025,0
New Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,18575,NA,15.4,687,4290.39,NA,NA,NA,NA,NA,2.08,0.46,NA,NA,2682347064,NA,NA,NA,NA,NA,76.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279993,282750,0.01
French Guiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275713,282731,0.03
French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,4167,NA,15.38,689,803.07,NA,NA,NA,NA,NA,2.01,0.42,NA,1.7,3447543138,NA,NA,NA,NA,NA,76.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277679,279287,0.01
Mayotte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,NA,NA,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259531,266150,0.03
São Tomé and Príncipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,964,1000,33.83,239,113.68,171.58,0.05,STN,NA,NA,4.46,0.56,0,NA,390871568.6,1.1,0.13,0.08,0.08,26.2,66.62,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211028,215056,0.02
Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,2842,NA,24.69,685,198.02,111.56,0.01,WST,NA,NA,3.98,0.6,0,0.91,856626506,1.08,0.08,0.07,0.07,14.8,75.01,NA,51,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196129,197097,0
Saint Lucia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,616,NA,12.11,1,407.04,108.04,-0.03,XCD,NA,NA,1.46,0.33,0,1.3,1712306556,1.01,0.19,0.08,0.08,11.8,75.5,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181889,182790,0.01
Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2742000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170499,172259,0.01
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,544,NA,16.78,1,NA,NA,NA,NA,NA,NA,2.35,0.46,NA,NA,5793000000,NA,NA,NA,NA,NA,79.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165768,167294,0.01
Curaçao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444,NA,11.2,599,5881.87,108.08,NA,NA,NA,4797.67,1.7,NA,99.86,NA,NA,1.73,0.21,NA,NA,NA,77.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162752,163424,0
Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,811,NA,28.22,686,62.34,99.55,NA,AUD,NA,NA,3.65,0.15,0,NA,196150061.3,1.05,NA,0.11,0.11,42.4,66.32,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115847,117606,0.02
Federated States of Micronesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,702,NA,23.71,691,150.35,112.55,NA,USD,NA,NA,3.15,0.92,NA,NA,336427532.9,0.96,0.14,0.13,0.13,27.5,69.2,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112640,113815,0.01
Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,348.5,NA,18.68,1,242.02,106.57,0.02,XCD,NA,NA,2.1,0.5,0,1.12,1118816679,1.01,0.91,0.06,0.06,14.4,73.66,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111454,112003,0
Tonga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,747,NA,23.98,676,121.01,112.71,0.03,TOP,NA,NA,3.64,0.13,0,NA,426057453.1,1.08,0.06,0.05,0.05,14.1,73.03,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110589,110940,0
Saint Vincent and the Grenadines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,389,NA,15.51,1,209.02,107.17,0,XCD,NA,NA,1.93,0.69,0,NA,789629629.6,1.03,0.06,0.05,0.05,15.2,73.18,NA,45,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110211,110589,0
Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,180,NA,10.97,297,872.75,101.99,-0.01,NA,NA,NA,1.8,0.02,NA,NA,2584463687,1.17,0.15,NA,NA,NA,75.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105845,106314,0
United States Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346.36,NA,NA,340,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,1996000000,NA,NA,NA,NA,NA,79.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104680,104578,?0.10%
Seychelles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,459,840,17.4,248,495.05,123.09,-0.01,SCR,NA,NA,2.78,0.88,0,NA,1485994388,1.13,0.21,0.05,0.05,12.3,74.31,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97096,97739,0.01
Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,442.6,180,16.23,1,531.72,112.45,0,XCD,NA,NA,2.05,0.22,0,0.99,1532397556,0.88,0.22,0.05,0.05,5.1,76.36,NA,NA,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96286,97118,0.01
Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,572,NA,11.4,44,NA,NA,NA,NA,NA,NA,1.65,0.06,NA,NA,6792417112,NA,NA,NA,NA,NA,77.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84077,84584,0.01
Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,468,NA,8.8,376,462.04,NA,NA,EUR,NA,NA,1.27,0.34,NA,1.51,3012914131,1.14,NA,0.08,0.08,2.4,NA,NA,NA,6.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77006,77142,0
Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,751,NA,12,1,135.68,103.06,0,XCD,NA,NA,1.9,0.58,0,NA,562540740.7,1.12,0.07,0.06,0.06,31.2,76.6,NA,NA,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71625,71808,0
Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,264,NA,10.7,1,542.72,102.94,NA,NA,NA,NA,NA,0.53,NA,NA,3207032513,NA,NA,NA,NA,NA,82.19,315630000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64174,64948,0.01
Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,53.2,NA,9.6,1,575.72,NA,NA,NA,NA,NA,1.61,0.2,NA,NA,5573710000,0.9,0.17,NA,NA,NA,81.23,2718790000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62756,62506,?0.40%
Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,181.43,NA,31.23,692,102.68,NA,NA,USD,NA,NA,4.05,0.7,0,1.44,199399247.1,0.89,0.43,0.16,0.16,29.1,65.24,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58413,58791,0.01
Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,2166086,NA,14.8,299,506.05,NA,NA,NA,NA,NA,2,0,NA,NA,2705891617,NA,NA,NA,NA,NA,71.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56564,56672,0
Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,464,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA,1242000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56882,56188,?1.22%
American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,199,NA,17.5,1,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA,658000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55465,55312,?0.28%
Saint Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,261,NA,17.3,1,231.02,105.54,-0.01,XCD,NA,NA,2.11,0.42,0,NA,945854481.5,NA,NA,0.06,0.06,7.6,71.34,NA,NA,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52441,52823,0.01
Faroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1393,NA,NA,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2198138372,NA,NA,NA,NA,NA,82.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48497,48678,0
Sint Maarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41940,42388,0.01
Monaco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02,NA,7.8,377,NA,NA,NA,EUR,NA,NA,NA,NA,NA,2,6074884389,NA,NA,0.04,0.04,2.8,NA,NA,NA,11.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38682,38964,0.01
Turks and Caicos Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,948,NA,NA,1,205.35,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37665,38191,0.01
Liechtenstein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,160,NA,10,423,44,NA,NA,CHF,NA,NA,1.4,0.43,NA,1.74,6289165410,1.05,0.35,NA,NA,NA,82.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37910,38019,0
San Marino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,61.2,NA,7.9,378,NA,110.63,0.01,EUR,NA,NA,1.26,0,NA,NA,1658778454,0.93,0.6,0.07,0.07,2.5,85.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33785,33860,0
Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1066000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33718,33701,?0.05%
British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,839700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29802,30030,0.01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25711,25979,0.01
Palau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,459,NA,12,680,260.36,118.17,NA,USD,NA,NA,2.21,0.88,0,NA,291544300,1.15,0.64,0.09,0.09,13.7,69.13,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17907,18008,0.01
Cook Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,NA,NA,682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17518,17548,0
Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14731,14869,0.01
Tuvalu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,26,NA,NA,688,11,NA,NA,AUD,NA,NA,NA,0.33,NA,NA,39731317.3,1.19,NA,0.15,0.15,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11508,11646,0.01
Wallis and Futuna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11661,11432,?1.96%
Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,674,NA,NA,NA,AUD,NA,NA,NA,NA,NA,NA,114000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10670,10756,0.01
Saint Helena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6035,6059,0
Saint Pierre and Miquelon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,NA,NA,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5849,5822,?0.46%
Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4993,4989,?0.08%
Falkland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12173,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3234,3377,0.04
Niue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,NA,NA,683,NA,NA,NA,NZD,NA,NA,NA,NA,NA,NA,10010000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1620,1615,?0.31%
Tokelau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1319,1340,0.02
Vatican City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,NA,NA,379,NA,NA,NA,EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,799,?0.25%
